City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Indi,IN,17.1667,75.9667,84.99,45,100,7.29,overcast clouds
269,Kargat,RU,55.1956,80.2811,26.6,86,100,17.0,overcast clouds
270,Medfield,US,42.1876,-71.3065,63.48,86,40,8.99,scattered clouds
271,Razole,IN,16.4833,81.8333,80.89,89,56,3.94,broken clouds
272,Roma,US,43.2128,-75.4557,54.82,95,90,12.66,overcast clouds
273,Pulivendla,IN,14.4167,78.2333,77.81,79,100,6.44,overcast clouds
274,San Cristobal,VE,7.7669,-72.225,73.58,58,96,2.55,overcast clouds
275,Kuching,MY,1.55,110.3333,79.02,89,20,3.44,few clouds
276,Bousso,TD,10.4795,16.7117,100.22,16,16,1.92,few clouds
277,Lulea,SE,65.5842,22.1547,35.67,100,90,4.61,fog
278,Marataizes,BR,-21.0433,-40.8244,75.0,83,100,8.66,overcast clouds
279,Kushmurun,KZ,52.4503,64.6311,45.32,80,87,10.31,overcast clouds
280,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,95.31,26,19,3.78,few clouds
281,Ushtobe,KZ,45.2514,77.9838,47.98,36,100,9.51,overcast clouds
282,Lufilufi,WS,-13.8745,-171.5986,74.98,75,97,16.44,overcast clouds
283,Nantucket,US,41.2835,-70.0995,63.03,83,82,25.7,broken clouds
284,Grand Gaube,MU,-20.0064,57.6608,75.6,75,91,3.0,overcast clouds
285,Ola,RU,59.5833,151.2833,12.4,55,10,13.38,clear sky
286,Karasjok,NO,69.4719,25.5112,24.91,98,53,3.8,broken clouds
287,Yichang,CN,30.7144,111.2847,62.83,77,100,3.6,light rain
288,Ler,SS,8.3018,30.1418,88.29,50,44,6.31,scattered clouds
289,Haines Junction,CA,60.7522,-137.5108,35.55,55,100,6.91,overcast clouds
290,Warrnambool,AU,-38.3833,142.4833,47.25,90,4,4.92,clear sky
291,Najran,SA,17.4924,44.1277,77.65,36,33,10.87,scattered clouds
292,Matara,LK,5.9485,80.5353,77.76,90,51,6.4,broken clouds
293,Rio Gallegos,AR,-51.6226,-69.2181,66.25,14,0,12.66,clear sky
294,Maldonado,UY,-34.6667,-54.9167,72.79,64,80,2.73,broken clouds
295,Sibolga,ID,1.7427,98.7792,77.34,89,97,2.8,moderate rain
296,Lalmohan,BD,22.3384,90.7419,77.94,63,30,7.4,scattered clouds
297,Shahr-E Babak,IR,30.1165,55.1186,63.25,29,19,11.01,few clouds
298,Wagar,SD,16.1525,36.2032,96.31,17,59,8.81,broken clouds
299,Katobu,ID,-4.9408,122.5276,76.46,91,100,3.13,overcast clouds
300,Qaanaaq,GL,77.484,-69.3632,8.96,65,100,9.73,overcast clouds
301,Glendive,US,47.1053,-104.7125,29.7,86,1,8.05,clear sky
302,Camacha,PT,33.0833,-16.3333,72.36,78,20,11.5,few clouds
303,Kaniama,CD,-7.5667,24.1833,75.38,71,91,9.8,light rain
304,Maxixe,MZ,-23.8597,35.3472,73.89,71,55,6.49,light rain
305,Japura,ID,-0.3167,102.35,74.7,98,100,2.37,overcast clouds
