City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Chakia,IN,2021-10-29 03:28:40,26.4167,85.05,75.09,54,0,4.74
215,Brae,GB,2021-10-29 03:28:40,60.3964,-1.353,49.91,94,100,6.33
216,Batemans Bay,AU,2021-10-29 03:28:41,-35.7167,150.1833,81.91,29,0,14.85
217,Athens,GR,2021-10-29 03:28:41,37.9795,23.7162,59.16,72,20,5.01
218,Saint-Philippe,RE,2021-10-29 03:28:42,-21.3585,55.7679,72.99,81,33,6.76
219,Celestun,MX,2021-10-29 03:28:42,20.8667,-90.4,80.24,60,12,18.72
220,Slave Lake,CA,2021-10-29 03:28:42,55.2834,-114.769,37.38,65,90,2.3
221,Hailey,US,2021-10-29 03:28:43,43.5196,-114.3153,41.9,71,44,1.99
222,Sur,OM,2021-10-29 03:28:43,22.5667,59.5289,78.24,61,0,1.19
223,Bathurst,AU,2021-10-29 03:28:43,-33.4166,149.5806,76.82,44,32,3.0
224,Dunedin,NZ,2021-10-29 03:24:10,-45.8742,170.5036,58.98,74,86,4.21
225,Gimli,CA,2021-10-29 03:28:44,50.6336,-96.9907,39.22,93,0,5.75
226,Klaksvik,FO,2021-10-29 03:28:45,62.2266,-6.589,50.92,89,41,24.85
227,Lakatoro,VU,2021-10-29 03:28:45,-16.0999,167.4164,83.48,70,24,9.4
228,Esperance,AU,2021-10-29 03:28:45,-33.8667,121.9,58.84,60,91,10.25
229,Arraial Do Cabo,BR,2021-10-29 03:28:46,-22.9661,-42.0278,71.01,91,100,15.7
230,Tallahassee,US,2021-10-29 03:27:21,30.4383,-84.2807,73.63,92,90,3.0
231,Lazaro Cardenas,MX,2021-10-29 03:28:46,17.9583,-102.2,78.84,78,3,2.24
232,Ayia Galini,GR,2021-10-29 03:28:47,35.1,24.6833,63.39,84,100,6.4
233,Khatanga,RU,2021-10-29 03:24:17,71.9667,102.5,-15.95,99,91,7.05
234,Padang,ID,2021-10-29 03:28:48,-0.9492,100.3543,84.25,65,95,2.01
235,Halifax,CA,2021-10-29 03:25:41,44.6453,-63.5724,48.47,80,99,3.0
236,Ngunguru,NZ,2021-10-29 03:28:48,-35.6167,174.5,72.16,56,83,8.05
237,Ulladulla,AU,2021-10-29 03:28:49,-35.35,150.4667,83.88,34,0,16.06
238,Grand-Santi,GF,2021-10-29 03:28:49,4.25,-54.3833,72.64,89,36,2.84
239,Boa Vista,BR,2021-10-29 03:28:49,2.8197,-60.6733,78.78,83,20,4.61
240,Tumpat,MY,2021-10-29 03:28:50,6.1978,102.171,90.93,84,20,5.75
241,Teguise,ES,2021-10-29 03:28:50,29.0605,-13.564,62.82,82,0,6.91
242,Scottsbluff,US,2021-10-29 03:28:06,41.8666,-103.6672,41.29,62,1,1.01
